TF	Target	EdgeWeight
KLF5	LGALSL	0.0020533425267785788
FOXP1	CREB3L2	0.002050078706815839
EGR1	TIPARP	0.0020494679920375347
EGR1	DAXX	0.0020484118722379208
FOXP1	RRN3	0.0020474917255342007
FOXP1	TCF7L1	0.002047124085947871
FOXP1	NOL11	0.0020470239687711
KLF5	TEAD1	0.0020468211732804775
FOXP1	KIF21A	0.0020467396825551987
FOXP1	KAL1	0.002046300331130624
EGR1	ARL4A	0.002044778084382415
KLF5	MKI67IP	0.0020433824975043535
FOXP1	FUS	0.002043335000053048
KLF5	ILF2	0.0020431007724255323
HAND2	NR2C1	0.0020419952925294638
MXI1	AIP	0.0020396499894559383
KLF5	ZNF107	0.0020387873519212008
SOX2	PDGFA	0.002038273261860013
FOXP1	TRDN	0.002037220634520054
FOXP1	HCFC1	0.002037006663158536
SOX2	DNMT3B	0.0020369766280055046
SOX2	TP53	0.0020363132935017347
FOXP1	GATA2	0.002035989658907056
FOXP1	TMEM64	0.0020351167768239975
SOX2	TEX10	0.002034058328717947
FOXP1	SRSF6	0.0020332871936261654
FOXP1	MCM7	0.0020324382930994034
FOXP1	EOMES	0.002032236894592643
FOXP1	STAT3	0.00203144084662199
FOXP1	ERCC-00042	0.002028488554060459
LEF1	GNG11	0.0020281837787479162
FOXP1	CTNNB1	0.0020276131108403206
FOXP1	GATA4	0.0020273972768336535
MLLT3	ERCC-00004	0.0020267562940716743
KLF5	LIMD1	0.0020258803851902485
HAND2	HIF1A	0.0020257572177797556
KLF5	ERCC-00042	0.0020244361367076635
KLF5	TTN	0.0020243902690708637
OTX2	SLC35F1	0.0020243681501597166
FOXP1	NCAM1	0.0020243118051439524
KLF5	CTNNB1	0.002024261048063636
FOXP1	PLAU	0.00202391785569489
KLF5	POLR3G	0.0020237930584698915
KLF5	MAFF	0.0020228277426213026
MLLT3	MED14	0.002022454282268882
KLF5	POLR2I	0.0020222512539476156
OTX2	TTN	0.0020221020095050335
KLF5	MCM6	0.0020216195844113827
KLF5	LRIG3	0.002020422834903002
SOX2	LHX1	0.002019901294261217
FOXP1	CUX1	0.002019457286223769
HAND2	TTN	0.0020183122251182795
FOXP1	CBX3	0.00201823259703815
FOXP1	TFDP1	0.0020181669387966394
LEF1	HIF1A	0.0020178186241537333
KLF5	CYP1B1	0.002015503356233239
KLF5	DNAJB14	0.0020151338540017605
MXI1	ANKMY2	0.0020139252301305532
KLF5	TRAF6	0.0020135410595685244
FOXP1	HDGF	0.002013360382989049
MXI1	WDR3	0.0020126744639128447
FOXP1	PAWR	0.0020124083384871483
MXI1	TMF1	0.0020114544313400984
SOX2	CCNA2	0.002010747091844678
KLF5	AK4	0.002010471886023879
KLF5	FUBP1	0.00201043370179832
MXI1	ZNF521	0.002009984105825424
KLF5	PPARA	0.002009865129366517
SOX2	MLF1IP	0.0020095391664654016
FOXP1	TMEM131	0.002008952898904681
FOXP1	TIMP3	0.0020085745491087437
SOX2	LPGAT1	0.0020077398512512445
SOX2	FBXO28	0.0020068043377250433
KLF5	BAG3	0.002005818299949169
SOX2	ALPK2	0.002005715388804674
FOXP1	PSMD9	0.0020056141074746847
SOX2	DNMT1	0.002005428308621049
KLF5	CRHBP	0.002004794543609023
FOXP1	YBX1	0.0020046886056661606
MXI1	MKI67IP	0.002004434121772647
SOX2	PHC1	0.00200404180213809
SOX2	GINS2	0.0020039693918079138
SOX2	SRSF1	0.0020032967440783978
SOX2	ILF2	0.002003259491175413
TFAP2A	NRP2	0.002002872060984373
EGR1	NFYB	0.002002736320719123
KLF5	MRS2	0.002002578927204013
SOX2	RRAS2	0.0020024902187287807
SOX2	HDGF	0.0020013386383652687
KLF5	EHMT2	0.0020010655280202627
KLF5	ZDHHC21	0.002000886481255293
KLF5	TMEM131	0.0020003728568553925
KLF5	CUX1	0.0019999821670353413
FOXP1	TRIM28	0.001999715343117714
SOX2	EWSR1	0.001998735824599862
SOX2	ALYREF	0.0019985001999884844
FOXP1	NFKBIA	0.0019982082303613424
FOXP1	TMF1	0.001998110441491008
FOXP1	HIF3A	0.0019979525823146105
FOXP1	KDM6A	0.0019977146293967962
MXI1	POLR2I	0.0019972880836576223
KLF5	LGR5	0.001997211715206504
FOXP1	ABLIM1	0.001996626378968358
KLF5	ACTC1	0.001996220787987113
FOXP1	ITGA6	0.0019961269572377205
KLF5	CNTRL	0.001996032427996397
HAND2	TDP2	0.0019956978503614664
SOX2	TRIM33	0.0019943860825151205
SOX2	CITED2	0.001994119491428137
FOXP1	HNRNPK	0.0019937127362936735
EGR1	TEX10	0.0019936480093747377
HAND2	SLC39A8	0.0019928617402911186
FOXP1	RBBP4	0.001992324599996209
FOXH1	SF1	0.0019921872299164534
KLF5	RPE	0.0019920121412724257
FOXP1	MCM4	0.0019916915334761143
SOX2	CD9	0.001991105964407325
SOX2	ERCC6L	0.001990703633055091
KLF5	NFATC3	0.0019904961809515953
FOXP1	MKI67IP	0.0019903387874364853
SOX2	SHOX	0.0019899816252291203
GATA3	SSB	0.001989674987271428
KLF5	ARID3B	0.0019894565921276808
KLF5	PFKFB2	0.001989272888749838
OTX2	POLR2I	0.0019884761422872543
FOXP1	PPPDE1	0.0019884661305695772
TCF4	CNBP	0.001988421194255352
FOXP1	PHC1	0.0019879008177667856
EGR1	POLR2I	0.001987350406125188
SOX2	ARHGAP29	0.0019871974363923073
KLF5	RND3	0.00198699114844203
FOXP1	ANKRD6	0.0019867708906531334
HAND2	CENPK	0.001986671006307006
KLF5	SFPQ	0.001986628631129861
HAND2	CBX3	0.0019855634309351444
FOXP1	RFC3	0.0019842004403471947
SOX2	ELMO1	0.0019834672566503286
SOX2	PIP4K2A	0.0019832926336675882
KLF5	SYNE2	0.001982546877115965
FOXP1	ERCC-00131	0.001982112182304263
SOX2	MCM4	0.0019820232409983873
FOXP1	CALB1	0.0019803934264928102
FOXP1	LMX1B	0.001980009488761425
EGR1	MAFF	0.0019799175206571817
SOX2	PDGFRA	0.0019798832945525646
HAND2	DNMT1	0.001979492837563157
SOX2	POLR1B	0.001979338936507702
TCF4	EWSR1	0.0019792281091213226
SOX2	ELMOD2	0.0019791927188634872
HAND2	MIA3	0.001978876069188118
MXI1	SH3BGRL2	0.001978699816390872
FOXP1	ARHGAP28	0.001978599466383457
FOXP1	PHLDA1	0.0019784392789006233
SOX2	IFI16	0.001978395041078329
KLF5	ALYREF	0.001978390384465456
EGR1	RNF13	0.0019780024886131287
FOXP1	RRAS2	0.001977861626073718
FOXP1	ALCAM	0.001977113541215658
MLLT3	NFKBIA	0.00197701808065176
SOX2	LIFR	0.001976578263565898
FOXP1	LIN28A	0.0019764364697039127
KLF5	DAXX	0.0019760725554078817
FOXP1	FOXK1	0.0019755882676690817
FOXP1	SKIL	0.001975415740162134
KLF5	ZNF589	0.0019751866348087788
FOXP1	TRPS1	0.0019746532198041677
SOX2	YBX1	0.0019732255022972822
HAND2	BTBD10	0.001973216189071536
HAND2	PHF17	0.0019732024520635605
LEF1	AK4	0.001973184524103999
ZFP42	PBX1	0.0019728890620172024
FOXP1	KIAA1804	0.0019725491292774677
KLF5	NCAPG	0.0019723004661500454
KLF5	ERCC-00004	0.001972240163013339
KLF5	KLHL4	0.001972219906747341
FOXP1	PRDM14	0.001972036901861429
FOXP1	ASNS	0.0019718040712177753
FOXP1	LIMD1	0.00197179545648396
SOX2	NLGN4X	0.001971644815057516
SOX2	ASNS	0.0019713989458978176
FOXP1	DUSP4	0.001971073681488633
FOXP1	KIAA1467	0.001970847835764289
LEF1	SATB1	0.001970621757209301
SOX2	BARX2	0.0019704673904925585
FOXP1	MIF	0.0019703498110175133
HAND2	NRP1	0.0019702457357198
MXI1	KIAA1467	0.001970141427591443
FOXP1	SIPA1L2	0.001969728386029601
FOXP1	NUAK1	0.001969697652384639
KLF5	NONO	0.001969663193449378
SOX2	ERCC-00002	0.0019694301299750805
FOXP1	POLR2A	0.0019692624919116497
EGR1	PRIM1	0.0019691558554768562
KLF5	WDR35	0.0019688617903739214
FOXP1	DAB2	0.0019681300036609173
MXI1	ARHGAP42	0.0019679726101458073
FOXP1	TLR7	0.0019674827344715595
SOX2	PRDM1	0.0019666252192109823
KLF5	YPEL5	0.0019665255676954985
KLF5	SORL1	0.0019660633988678455
MLLT3	SCD5	0.001965848496183753
SOX2	DYNC1I1	0.001965488540008664
LEF1	ILF3	0.0019645222928375006
MXI1	ETS1	0.0019644852727651596
EGR1	NR2C1	0.0019644498825073242
ZFP42	PURA	0.001964243594557047
EGR1	WDR3	0.001963774673640728
SOX2	DUSP4	0.0019636547658592463
EGR1	ZNF146	0.0019633793272078037
FOXP1	ERCC6L	0.0019633036572486162
LEF1	SRSF6	0.001963074319064617
MLLT3	HMGN2	0.0019626826979219913
MXI1	RPE	0.0019624740816652775
FOXP1	GINS2	0.0019620892126113176
SOX2	IRF1	0.0019620326347649097
KLF5	TJP2	0.00196100864559412
SOX2	POLR2I	0.00196097488515079
SOX2	CCNB2	0.0019609290175139904
FOXP1	BNIP3	0.0019606819842010736
KLF5	HELZ	0.001960658933967352
HAND2	PLCB4	0.0019606342539191246
KLF5	HDGF	0.0019601481035351753
HAND2	MAFF	0.001960119465366006
SOX2	PTMA	0.001960041467100382
MXI1	LIN28A	0.001959942514076829
FOXP1	DNMT1	0.0019596018828451633
FOXP1	IGDCC4	0.0019594531040638685
SOX2	TRAF6	0.0019592850003391504
KLF5	WDR3	0.0019592575263231993
FOXP1	CA14	0.001959210727363825
FOXP1	ETV1	0.0019590340089052916
SOX17	ALCAM	0.0019590151496231556
MXI1	CEBPZ	0.0019589911680668592
MXI1	PRDM1	0.0019587301649153233
EZH2	VAMP7	0.0019585327245295048
EGR1	KIAA0528	0.0019581809174269438
KLF5	SYNC	0.001958073116838932
KLF5	CEBPZ	0.001958068460226059
SOX2	WDR12	0.0019575320184230804
FOXP1	CLDN11	0.0019574977923184633
MXI1	UBTF	0.0019573115278035402
LEF1	ENO1	0.0019571587909013033
FOXP1	APBB2	0.001957105938345194
FOXP1	SSFA2	0.0019569816067814827
SOX17	SKIL	0.0019568789284676313
FOXP1	KIAA1109	0.001956867752596736
TFAP2A	SLC39A8	0.0019565802067518234
FOXP1	LZTS1	0.0019564488902688026
SOX2	CRHBP	0.0019563466776162386
HAND2	CUX1	0.0019560856744647026
FOXP1	LIFR	0.0019560623914003372
FOXP1	ZNF238	0.0019555503968149424
FOXH1	SSB	0.0019555138424038887
KLF5	XRN1	0.0019554547034204006
KLF5	RHOBTB3	0.0019550221040844917
EGR1	PRDM1	0.001954969484359026
TCF4	ALCAM	0.0019549066200852394
EGR1	DPF2	0.0019549026619642973
EGR1	NANOG	0.001954584615305066
MXI1	DUSP4	0.0019541794899851084
FOXP1	KHSRP	0.0019540227949619293
SOX2	IGDCC4	0.001953292405232787
FOXP1	OAS1	0.0019532570149749517
HAND2	FBXO5	0.0019529636483639479
SOX2	AFF4	0.0019529538694769144
SOX2	CIITA	0.0019528828561306
EGR1	DNAJB14	0.0019525818061083555
KLF5	PIP4K2A	0.0019524556118994951
FOXP1	MCM5	0.0019522177753970027
FOXP1	GYPE	0.0019520376808941364
EZH2	ETV1	0.0019517905311658978
SOX2	NR2C1	0.0019515588646754622
HAND2	ERCC-00130	0.0019515053136274219
SOX17	POLR3G	0.0019514537416398525
SOX2	OTUD6B	0.0019512875005602837
FOXP1	SEMA6D	0.0019511000718921423
SOX2	POLR2A	0.001950982492417097
FOXP1	GNG11	0.0019508880795910954
MXI1	NRP1	0.001950763980858028
KLF5	ESCO2	0.0019506907556205988
FOXP1	PBX1	0.0019504288211464882
KLF5	GNG11	0.0019497005268931389
FOXP1	TRIP13	0.0019496255554258823
ZFP42	NFYB	0.0019495600135996938
FOXP1	ZFYVE16	0.001949177822098136
SOX2	UHRF1	0.0019487998215481639
LEF1	FST	0.0019487126264721155
HAND2	NUSAP1	0.001948651159182191
SOX2	LMX1B	0.001948182936757803
EGR1	HIF3A	0.001948125776834786
EGR1	MLF1IP	0.0019480976043269038
EZH2	SORL1	0.0019472992280498147
TFAP2A	IFI16	0.0019469246035441756
EGR1	POLR2A	0.0019462303025647998
HAND2	AES	0.0019457322778180242
FOXP1	POU2AF1	0.0019453989807516336
HAND2	HPRT1	0.0019453890854492784
HAND2	NUCB2	0.0019453767454251647
SOX2	MED14	0.0019448030507192016
KLF5	PHLDA1	0.0019444837234914303
FOXP1	HAPLN1	0.001944360206834972
SOX17	MRS2	0.001943957875482738
KLF5	TDP2	0.0019438586896285415
SOX2	ANKRD50	0.001943817362189293
TCF4	CCNB2	0.0019435633439570665
MXI1	SSB	0.001943340408615768
TFAP2A	PRKACB	0.001943207229487598
FOXP1	FXR1	0.0019425909267738461
KLF5	HNRNPAB	0.001942578237503767
FOXP1	SRSF2	0.00194248603656888
KLF5	XRCC5	0.0019424280617386103
SOX2	PRKACB	0.0019420707831159234
KLF5	LPGAT1	0.001941903494298458
FOXP1	SUPT16H	0.0019415608840063214
KLF5	SMAD6	0.0019411786925047636
EGR1	MCM4	0.0019411520333960652
MXI1	BNIP3	0.0019410738022997975
FOXP1	ZBTB2	0.0019409650703892112
KLF5	TP53	0.0019408109365031123
ZFP42	VAMP7	0.001940803718753159
EGR1	AK4	0.0019406694918870926
SOX2	NOL11	0.0019405347993597388
FOXP1	ERCC-00096	0.0019403626210987568
FOXP1	KIAA1324L	0.0019402311882004142
HAND2	C12ORF23	0.0019401853205636144
MLLT3	HELZ	0.0019401657627895474
EGR1	PIP4K2A	0.0019400866003707051
MXI1	KAL1	0.001939941430464387
KLF5	CDK6	0.0019398177973926067
KLF5	TEX10	0.0019397998694330454
MXI1	ENO1	0.0019397163996472955
KLF5	ZNF516	0.0019395760027691722
KLF5	TRPS1	0.0019393253605812788
SOX2	ZNF160	0.0019388659857213497
FOXP1	AFF4	0.001938800560310483
FOXP1	ELMOD2	0.0019386098720133305
TFAP2A	GYPB	0.00193834921810776
KLF5	RBBP4	0.0019383461913093925
HAND2	KHSRP	0.001937870867550373
KLF5	CCNB2	0.0019378665601834655
MXI1	SFPQ	0.0019378573633730412
SOX2	PFKFB2	0.0019377715652808547
FOXP1	STK17B	0.0019377522403374314
FOXP1	NEDD9	0.0019377468852326274
KLF5	EEF1A1	0.001937658409588039
FOXP1	KDELR3	0.001937588327564299
FOXP1	SPIB	0.0019375230185687542
EGR1	MBIP	0.0019374866969883442
KLF5	SOS2	0.0019373662071302533
SOX2	SOS2	0.0019372350070625544
SOX2	SNX18	0.0019372142851352692
ZFP42	POLR2D	0.0019371554953977466
HAND2	DDAH1	0.0019371379166841507
KLF5	HIF1A	0.0019370532827451825
MXI1	CA2	0.0019370453665032983
KLF5	ILF3	0.001936893560923636
HAND2	KDR	0.001936857937835157
FOXP1	NANOG	0.001936845830641687
MLLT3	MCM4	0.0019368057837709785
GATA3	PELI2	0.0019367068307474256
FOXP1	IRF1	0.0019366801716387272
LEF1	CCNB2	0.0019364648032933474
FOXP1	MDM4	0.001936444896273315
MXI1	AFF4	0.0019361672457307577
HAND2	ERCC-00042	0.0019360336009413004
MXI1	HIF1A	0.0019358813297003508
HAND2	HAPLN1	0.00193578633479774
MXI1	WDR12	0.0019351044902577996
EGR1	PLXNA2	0.0019348340574651957
HAND2	ARID4B	0.0019346300978213549
SOX2	SATB1	0.0019345910986885428
KLF5	BRWD1	0.0019344848114997149
FOXP1	RNF13	0.00193394988309592
EGR1	CSRP2	0.001933946623466909
SNAI2	GNG11	0.0019339395221322775
KLF5	NRP2	0.0019337614066898823
KLF5	POLR1B	0.0019337182166054845
EGR1	COL4A1	0.0019336962141096592
FOXP1	UTP18	0.0019335940014570951
HAND2	POLR2I	0.0019334940006956458
EGR1	HELZ	0.0019328652415424585
ZFP42	DNAJB14	0.0019327369518578053
LEF1	E2F4	0.0019327325280755758
FOXP1	TFAP4	0.0019326991168782115
ZFP42	CTNNB1	0.001932587125338614
SOX2	ETV1	0.0019323255401104689
KLF5	TLR7	0.0019322149455547333
TCF4	GTF2H2	0.001932153943926096
SOX2	SSB	0.001931841834448278
KLF5	SLC39A8	0.001931715407408774
FOXP1	SOX4	0.0019316882826387882
KLF5	DPH2	0.0019316086545586586
HAND2	IRF1	0.0019315085373818874
FOXP1	ZFHX3	0.0019313915399834514
EGR1	DNMT3B	0.0019311108626425266
KLF5	PRIM1	0.0019311016658321023
ZFP42	MYCT1	0.0019309971248731017
FOXP1	GATAD2A	0.0019309743074700236
SOX2	SMAD2	0.00193084089551121
SOX2	AK4	0.0019307996844872832
FOXP1	CCDC81	0.0019307637121528387
MXI1	ASNS	0.0019307456677779555
KLF5	LDB2	0.0019305141177028418
KLF5	EZH2	0.0019303809385746717
SOX2	GYPB	0.0019302922300994396
HAND2	CTNNB1	0.0019295705715194345
SOX2	LIN28A	0.0019292968790978193
KLF5	ZNF585B	0.0019292481010779738
FOXP1	COL5A2	0.001928873360157013
KLF5	GATAD2A	0.001928703160956502
FOXP1	TMOD1	0.0019286999013274908
SOX2	CBX3	0.0019284480949863791
MXI1	LIMD1	0.0019284444861114025
GATA6	RHOBTB3	0.001928154262714088
SOX2	ANKRD13C	0.0019281201530247927
KLF5	NUP54	0.001927706878632307
SOX2	HCFC1	0.001927472767420113
EGR1	SAP18	0.0019272923236712813
KLF5	SRSF6	0.0019271873170509934
KLF5	TRAPPC8	0.0019271217752248049
SOX2	SRSF6	0.0019268718315288424
EGR1	NUAK1	0.0019265948794782162
HAND2	PIP4K2A	0.0019264203729107976
KLF5	CDCA7L	0.0019262125715613365
HAND2	PSMD9	0.0019261534325778484
FOXP1	EPB41L3	0.001925995689816773
FOXP1	FLRT3	0.0019259739201515913
EZH2	NTS	0.001925815362483263
SOX2	PHB2	0.0019258150132372975
HAND2	WDFY1	0.0019253864884376526
EGR1	FBXO5	0.0019253266509622335
FOXP1	ZIC2	0.001925099641084671
TFAP2A	ETS1	0.0019250300247222185
MXI1	SRSF6	0.0019247608724981546
SOX2	CBFA2T2	0.001924700802192092
KLF5	PBX1	0.0019244842696934938
HAND2	EEF1A1	0.0019241689005866647
SOX2	FAM117B	0.001924081239849329
KLF5	TNC	0.0019239693647250533
KLF5	MED14	0.00192390033043921
SOX2	KHSRP	0.001923885545693338
SOX2	SAP18	0.0019238186068832874
EGR1	EEF1A1	0.0019237835658714175
KLF5	GPSM2	0.0019236633088439703
FOXP1	HAS2	0.0019236376974731684
EZH2	WDR12	0.0019232589984312654
EGR1	GINS2	0.0019232543418183923
HAND2	BLM	0.0019232070771977305
FOXP1	ENO1	0.0019231296610087156
SOX2	TDP2	0.0019227929878979921
FOXP1	SFPQ	0.001922727795317769
SOX2	CDCA8	0.0019226998556405306
FOXP1	ESCO2	0.0019226281438022852
OTX2	SLC39A8	0.0019225142896175385
SOX2	AGL	0.0019219989189878106
HAND2	ATRX	0.001921781338751316
GATA3	ZFYVE16	0.001921757240779698
FOXP1	DDAH1	0.0019217306980863214
LEF1	TTN	0.0019216155633330345
SNAI2	IGDCC4	0.0019216067157685757
SOX2	HMGN2	0.0019216008950024843
MXI1	JMJD1C	0.0019214933272451162
EGR1	PHC1	0.0019214509520679712
KLF5	BCL11A	0.0019213043851777911
KLF5	SOX4	0.0019211012404412031
HAND2	WDR3	0.0019209495512768626
KLF5	IL6ST	0.0019207857549190521
EGR1	PSMD9	0.0019207567675039172
EGR1	POLR2D	0.0019207234727218747
KLF5	IGDCC4	0.0019205245189368725
FOXP1	DRAM2	0.0019204916898161173
SOX2	NFYB	0.001920119160786271
HAND2	EWSR1	0.001920028356835246
SOX2	CUX1	0.0019198249792680144
SOX2	ZBTB2	0.0019197729416191578
SOX2	BCL11A	0.0019196512876078486
EZH2	PRDM1	0.0019195381319150329
SNAI2	IRF1	0.001919365837238729
FOXP1	HPRT1	0.0019192739855498075
SOX17	MLL3	0.0019189590821042657
ZFP42	FLRT3	0.0019188480218872428
GATA3	DNMT3B	0.0019188355654478073
POU5F1	POLR1B	0.0019182192627340555
FOXP1	PLOD2	0.0019182119285687804
FOXP1	PRDM1	0.0019181751413270831
SOX2	STAT3	0.001917997607961297
MLLT3	SERTAD2	0.001917904824949801
MLLT3	RNF14	0.0019178539514541626
MXI1	SEMA3A	0.0019177657086402178
EGR1	RRAS2	0.0019174037734046578
EGR1	KIF23	0.0019172107568010688
FOXP1	CTSK	0.001917004818096757
FOXP1	BCAR3	0.0019169520819559693
FOXP1	BARX2	0.0019167825812473893
FOXP1	ZNF146	0.0019166701240465045
FOXP1	HAND1	0.0019165186677128077
SOX2	CTBP1	0.0019163540564477444
MLLT3	FBXO5	0.0019162772223353386
MXI1	BAG3	0.0019162303069606423
KLF5	NFIB	0.0019161758245900273
EGR1	WDFY1	0.0019161637173965573
EGR1	IGDCC4	0.001916095963679254
EGR1	BAG3	0.001916037523187697
MXI1	SOX7	0.0019159169169142842
FOXP1	CITED2	0.0019159069051966071
SOX2	RND3	0.0019156849011778831
FOXP1	CDCA8	0.001915668835863471
SNAI2	ARHGAP29	0.001915526925586164
FOXP1	ZNF585B	0.0019153719767928123
FOXP1	TRIM27	0.00191526859998703
HAND2	VPS13C	0.001914983382448554
SOX2	UTP15	0.0019147684797644615
FOXP1	GABRB2	0.0019147504353895783
SOX2	ERCC-00095	0.0019144142279401422
SOX2	JMJD1C	0.0019142472883686423
AR	FBXO5	0.0019142120145261288
KLF5	SPPL2A	0.001914180931635201
KLF5	TLE1	0.0019141352968290448
SOX2	SORL1	0.001914020162075758
KLF5	DNMT3B	0.0019134071189910173
FOXP1	FOXH1	0.0019133081659674644
HAND2	SEMA6D	0.0019133045570924878
KLF5	SEMA3A	0.0019132429733872414
KLF5	DEPDC1B	0.001913241227157414
SOX2	EEF1A1	0.0019132309826090932
FOXP1	ARHGAP42	0.0019131676526740193
HAND2	GTF2H2	0.0019131655571982265
SOX17	NR2C1	0.0019127645064145327
MXI1	CCPG1	0.001912579988129437
FOXH1	FBXO5	0.0019124967511743307
KLF5	CER1	0.0019119037315249443
FOXP1	JUND	0.001911559491418302
EGR1	WWP1	0.00191145995631814
EGR1	POLR2F	0.001911391969770193
MXI1	FREM1	0.0019113416783511639
SOX2	SH3BGRL2	0.0019113051239401102
SOX2	EZH2	0.0019112954614683986
KLF5	CHL1	0.0019112363224849105
EGR1	ERCC-00062	0.0019111738074570894
SOX17	BRWD1	0.0019109864952042699
MLLT3	HLA-DQB1	0.0019109599525108933
FOXP1	SORL1	0.0019108097767457366
HAND2	NAA15	0.0019107847474515438
KLF5	CA2	0.001910780556499958
FOXP1	FBXO5	0.0019105979008600116
FOXP1	COL5A1	0.0019103260710835457
OTX2	TTK	0.0019100387580692768
EGR1	KAT7	0.00190994783770293
KLF5	SNRPB	0.0019098782213404775
KLF5	MAN1A1	0.001909828744828701
HAND2	ZKSCAN1	0.001909739221446216
EGR1	HDGF	0.0019094008021056652
SOX2	ERCC-00009	0.0019093849696218967
SOX2	HNRNPD	0.0019092306029051542
SOX2	ASS1	0.0019091806607320905
FOXP1	TTC27	0.0019091347930952907
KLF5	DECR1	0.0019090994028374553
FOXP1	FAM46A	0.0019090978894382715
FOXP1	ZNF589	0.001909083453938365
HAND2	YPEL5	0.001909068669192493
KLF5	KDR	0.0019090455025434494
KLF5	CLDN11	0.0019089850829914212
HAND2	MED14	0.0019088687840849161
SOX2	TIPARP	0.0019086728570982814
FOXP1	ERCC-00004	0.0019082900835201144
KLF5	MCM3	0.0019080089405179024
FOXP1	NCAPG	0.001907956786453724
KLF5	SKA3	0.0019079408375546336
FOXP1	CER1	0.0019077729666605592
GATA3	SATB1	0.0019075552700087428
KLF5	MBIP	0.0019075257005169988
KLF5	MYCT1	0.0019075254676863551
SOX2	LRIG3	0.0019074364099651575
MLLT3	ERCC-00046	0.001907412544824183
EGR1	HOXB3	0.0019072768045589328
FOXP1	TIMM8A	0.0019070422276854515
EGR1	ASNS	0.0019069695845246315
MXI1	ERCC6L	0.001906733843497932
KLF5	GYPB	0.0019067274406552315
FOXP1	ZIC3	0.0019063971703872085
TFAP2A	TEX10	0.0019063556101173162
SOX2	HAND1	0.0019061623606830835
FOXP1	RNF14	0.0019061354687437415
SOX2	MYBBP1A	0.0019060156773775816
FOXP1	POLR1C	0.0019058248726651073
HAND2	SSB	0.001905706594698131
TFAP2A	EWSR1	0.0019056143937632442
MXI1	MAGI3	0.0019055663142353296
LEF1	TEX10	0.0019055635202676058
KLF5	APBB2	0.0019052729476243258
HAND2	KLHL24	0.0019050275441259146
MXI1	PDCD4	0.0019049585098400712
LEF1	IGDCC4	0.0019047320820391178
SOX2	ABLIM1	0.0019046516390517354
EGR1	COBLL1	0.0019046217203140259
EGR1	RAI14	0.0019045372027903795
FOXP1	HNRNPD	0.0019044926157221198
FOXP1	STC1	0.0019043456995859742
FOXP1	EEF1A1	0.0019043093780055642
FOXP1	SHOX	0.00190420588478446
HAND2	ZFHX3	0.001904120552353561
FOXP1	ERCC-00062	0.0019039757316932082
KLF5	NOL11	0.0019038851605728269
FOXP1	STAT2	0.0019037678139284253
MXI1	HMGN2	0.0019034396391361952
FOXP1	CCPG1	0.001903403433971107
FOXP1	TMEM38B	0.0019032345153391361
TFAP2A	NUAK1	0.0019031683914363384
KLF5	HAPLN1	0.0019029470859095454
KLF5	STK17B	0.0019028492970392108
SOX17	RAI14	0.0019027775852009654
EGR1	NPM1	0.001902677584439516
SOX2	DTL	0.00190258352085948
KLF5	SOX7	0.0019024687353521585
MXI1	HPRT1	0.0019024237990379333
MXI1	NTS	0.0019023946952074766
FOXP1	MYOCD	0.0019023166969418526
MXI1	ITPR2	0.0019020423060283065
SOX2	GPC3	0.001902011688798666
HAND2	WDR12	0.0019019802566617727
MXI1	ITGA6	0.0019018403254449368
